,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,2500796947.106851,143677518.339167,584272614.050464,59714081.166943,-2700449.076897
Tax Rate For Calcs,0.245296,0.128398,0.210019,0.104032,0.150025
Normalized EBITDA,35309000000.0,35481000000.0,33700000000.0,37976000000.0,32100000000.0
Total Unusual Items,10195000000.0,1119000000.0,2782000000.0,574000000.0,-18000000.0
Total Unusual Items Excluding Goodwill,10195000000.0,1119000000.0,2782000000.0,574000000.0,-18000000.0
Net Income From Continuing Operation Net Minority Interest,21187000000.0,18164000000.0,17127000000.0,20004000000.0,15328000000.0
Reconciled Depreciation,16796000000.0,15227000000.0,14262000000.0,15631000000.0,13442000000.0
Reconciled Cost Of Revenue,88670000000.0,80809000000.0,76976000000.0,98893000000.0,80977000000.0
EBITDA,45504000000.0,36600000000.0,36482000000.0,38550000000.0,32082000000.0
EBIT,28708000000.0,21373000000.0,22220000000.0,22919000000.0,18640000000.0
Net Interest Income,562000000.0,569000000.0,525000000.0,678000000.0,653000000.0
Interest Expense,538000000.0,516000000.0,541000000.0,570000000.0,603000000.0
Interest Income,1100000000.0,1085000000.0,1066000000.0,1248000000.0,1256000000.0
Normalized Income,13492796947.106852,17188677518.33917,14929272614.050465,19489714081.166943,15343299550.923103
Net Income From Continuing And Discontinued Operation,21187000000.0,18164000000.0,17127000000.0,20004000000.0,15328000000.0
Total Expenses,162747000000.0,148531000000.0,137262000000.0,166589000000.0,141466000000.0
Total Operating Income As Reported,17422000000.0,19171000000.0,18405000000.0,21203000000.0,17411000000.0
Diluted Average Shares,10845000000.0,10806000000.0,10793000000.0,10771000000.0,10735000000.0
Basic Average Shares,10674000000.0,10637000000.0,10603000000.0,10552000000.0,10501000000.0
Diluted EPS,1.95,1.68,1.59,1.86,1.43
Basic EPS,1.98,1.71,1.62,1.9,1.46
Diluted NI Availto Com Stockholders,21187000000.0,18164000000.0,17127000000.0,20004000000.0,15328000000.0
Net Income Common Stockholders,21187000000.0,18164000000.0,17127000000.0,20004000000.0,15328000000.0
Net Income,21187000000.0,18164000000.0,17127000000.0,20004000000.0,15328000000.0
Net Income Including Noncontrolling Interests,21187000000.0,18164000000.0,17127000000.0,20004000000.0,15328000000.0
Net Income Continuous Operations,21187000000.0,18164000000.0,17127000000.0,20004000000.0,15328000000.0
Earnings From Equity Interest Net Of Tax,-73000000.0,-15000000.0,1000000.0,-20000000.0,-3000000.0
Tax Provision,6910000000.0,2678000000.0,4553000000.0,2325000000.0,2706000000.0
Pretax Income,28170000000.0,20857000000.0,21679000000.0,22349000000.0,18037000000.0
Other Income Expense,10186000000.0,1117000000.0,2749000000.0,468000000.0,-27000000.0
Other Non Operating Income Expenses,-9000000.0,-2000000.0,-33000000.0,-106000000.0,-9000000.0
Gain On Sale Of Security,10195000000.0,1119000000.0,2782000000.0,574000000.0,-18000000.0
Net Non Operating Interest Income Expense,562000000.0,569000000.0,525000000.0,678000000.0,653000000.0
Interest Expense Non Operating,538000000.0,516000000.0,541000000.0,570000000.0,603000000.0
Interest Income Non Operating,1100000000.0,1085000000.0,1066000000.0,1248000000.0,1256000000.0
Operating Income,17422000000.0,19171000000.0,18405000000.0,21203000000.0,17411000000.0
Operating Expense,74077000000.0,67722000000.0,60286000000.0,67696000000.0,60489000000.0
Other Operating Expenses,59516000000.0,53341000000.0,47895000000.0,51709000000.0,47167000000.0
Selling General And Administration,14561000000.0,14381000000.0,12391000000.0,15987000000.0,13322000000.0
Selling And Marketing Expense,11686000000.0,11416000000.0,9763000000.0,13124000000.0,10609000000.0
General And Administrative Expense,2875000000.0,2965000000.0,2628000000.0,2863000000.0,2713000000.0
Other Gand A,2875000000.0,2965000000.0,2628000000.0,2863000000.0,2713000000.0
Gross Profit,91499000000.0,86893000000.0,78691000000.0,88899000000.0,77900000000.0
Cost Of Revenue,88670000000.0,80809000000.0,76976000000.0,98893000000.0,80977000000.0
Total Revenue,180169000000.0,167702000000.0,155667000000.0,187792000000.0,158877000000.0
Operating Revenue,180169000000.0,167702000000.0,155667000000.0,187792000000.0,158877000000.0
